brand_id,brand_name,product_name,product_id,category,beauty_point_earned,price,url,active_date,rating_types_str,average_rating,total_reviews,average_rating_by_types,total_recommended_count,total_repurchase_maybe_count,total_repurchase_no_count,total_repurchase_yes_count,total_in_wishlist
338,Votre-Peau,Ramadhan Special Hampers,104047,Skincare,150,799000.0,https://www.sociolla.com/skin-care-set/75705-ramadhan-special-hampers,2023-04-19 02:54:33.207000+00:00,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,5.0,1,"""star_effectiveness"": 5; ""star_packaging"": 5; ""star_texture"": 5; ""star_value_for_money"": 5",1,0,0,1,14
338,Votre-Peau,Skin Care Glow Combo,88217,Skincare,90,450000.0,https://www.sociolla.com/face-cream-lotion/59875-skin-care-glow-combo,2022-07-13 02:03:44.506000+00:00,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,0.0,0,,0,0,0,0,100
338,Votre-Peau,Skin Care Bye Bye Acne Package - Paket Perawatan Wajah Jerawat,99545,Skincare,50,258000.0,https://www.sociolla.com/skin-care-set/71203-skin-care-bye-bye-acne-package-paket-perawatan-wajah-jerawat,2022-10-19 11:39:55.060000+00:00,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,0.0,0,,0,0,0,0,23
338,Votre-Peau,Niacinamide Booster Ampoule,89206,Skincare,30,185000.0,https://www.sociolla.com/ampoule/60864-niacinamide-booster-ampoule,,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.6312500000000005,80,"""star_effectiveness"": 4.5875; ""star_packaging"": 4.7625; ""star_texture"": 4.65; ""star_value_for_money"": 4.525",74,19,5,56,557
338,Votre-Peau,Retinol Eye Cream,98885,Skincare,30,165000.0,https://www.sociolla.com/eye-cream/70543-retinol-eye-cream,2022-10-24 10:17:26.270000+00:00,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.541666666666667,36,"""star_effectiveness"": 4.361111111111111; ""star_packaging"": 4.638888888888889; ""star_texture"": 4.666666666666667; ""star_value_for_money"": 4.5",33,10,3,23,275
338,Votre-Peau,Sensisoft Facial Wash,85846,Skincare,20,119000.0,https://www.sociolla.com/face-wash/57504-sensisoft-facial-wash,,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.475,10,"""star_effectiveness"": 4.8; ""star_packaging"": 4.3; ""star_texture"": 4.6; ""star_value_for_money"": 4.2",9,3,0,7,-91
338,Votre-Peau,Salicylic Acid Acne Facial Wash 100Ml - Sabun Wajah Jerawat,98886,Skincare,20,129000.0,https://www.sociolla.com/cleanser/70544-salicylic-acid-acne-facial-wash-100ml-sabun-wajah-jerawat,2022-10-19 11:14:37.112000+00:00,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.1875,4,"""star_effectiveness"": 4.25; ""star_packaging"": 4.25; ""star_texture"": 4.25; ""star_value_for_money"": 4",3,1,1,2,21
338,Votre-Peau,Retinol Barrier Cream,84933,Skincare,30,185000.0,https://www.sociolla.com/face-cream-lotion/56591-retinol-barrier-cream,2022-07-13 02:04:39.468000+00:00,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.561550151975683,329,"""star_effectiveness"": 4.62613981762918; ""star_packaging"": 4.4832826747720365; ""star_texture"": 4.729483282674772; ""star_value_for_money"": 4.407294832826747",318,99,15,215,1877
338,Votre-Peau,Polypeptide Eye Gel Cream,84934,Skincare,30,165000.0,https://www.sociolla.com/eye-care/56592-polypeptide-eye-gel-cream,,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.258771929824562,57,"""star_effectiveness"": 4.2631578947368425; ""star_packaging"": 4.175438596491228; ""star_texture"": 4.385964912280702; ""star_value_for_money"": 4.2105263157894735",46,15,11,31,345
338,Votre-Peau,Saharan Snow Drop,85844,Skincare,30,165000.0,https://www.sociolla.com/face-cream-lotion/57502-saharan-snow-drop,,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.583333333333333,9,"""star_effectiveness"": 4.777777777777778; ""star_packaging"": 4.555555555555555; ""star_texture"": 4.888888888888889; ""star_value_for_money"": 4.111111111111111",8,6,0,3,64
